branching_types,n_end,k,uscat,device,dtype,density_dtype,density_device,uscat_dtype,uscat_device
a,8,32.0,(-1.2687531748272933-0.18567450459459006j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,45.254833995939045,(-0.9902792269753674-2.243971124294906j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,64.0,(-1.1260787387286935-1.8186757887055627j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,90.50966799187809,(0.9641375802843256-0.5019911270577917j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,128.0,(0.9615664082448659-0.687931618412921j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,181.01933598375618,(-0.8158169727583213+1.1611056891887208j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,256.0,(-0.13821575614774273+1.6568534113165723j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,362.03867196751236,(1.2499167849852466+0.9132765694323205j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,512.0,(1.2615932449507006-0.1968109519078094j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,724.0773439350247,(0.011102335201161153-1.5549483267947832j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,1.0,(-1.3559333609575988-0.6578134453800949j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,1.4142135623730951,(-0.8771443332978275-2.1880003212200254j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,2.0,(1.2150327071330373-1.125340105320885j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,2.8284271247461903,(0.9594059896785976-0.17538894564293087j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,4.0,(1.2980756100621238+0.4860422055663618j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,5.656854249492381,(-1.1008254178891212+0.33733982553262426j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,8.0,(0.9794165534189592-2.1478012641466444j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,11.313708498984761,(-1.2631435929724846+2.1004482620520815j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,16.0,(0.9248436964470839+0.035205465863341744j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,22.627416997969522,(1.2002809784279882+0.13987310313349907j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,32.0,(-1.2353982119455447-0.09585951649555054j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,45.254833995939045,(-1.0097542245658269-2.4352642817221586j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
