branching_types,n_end,uscat,k,device,dtype,density_dtype,density_device,uscat_dtype,uscat_device
ba,7,(-0.09377952580699937-1.3586456791575117j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(-0.6568090400475274+1.0999922819043295j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(0.8424240978939473-0.012568577864852382j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(1.0533918783845158+0.3913107730272444j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(-0.7413322562750023-0.6696603481750854j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(-0.3076397845953033-1.1108610776457244j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(0.5422182065691523-0.8902589614594408j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(0.7749576173600827-0.22878698457293944j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(0.833755539228527+0.5650223922783966j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(-0.79964613809357+0.41872041943150373j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(0.16742238648256608-0.9943827346223196j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(-0.7675076282758442+1.2016798440987j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(0.8159596642027764+0.05580678158932165j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(0.9986859806416423+0.3852129615081654j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(-0.7413322427403564-0.6696603829149285j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(-0.30763975044282077-1.1108611571206723j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(0.5422183065986775-0.8902591901935784j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(0.7749601518682717-0.22878947917431086j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(0.8336934371563818+0.5651786447106713j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(-0.8036259182477286+0.42794785527791995j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(0.3294144950706562-1.2030213307155166j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(-0.25810821032067016+1.4001614481639573j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(0.7353426858882688+0.02474044578712179j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(0.9930131818131059+0.24904308205031372j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,10,(-0.7413322410689949-0.6696603870954667j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,10,(-0.3076397464543639-1.1108611661558458j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,10,(0.542218314567728-0.8902592087014707j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,10,(0.7749601711820076-0.22878974400070778j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,10,(0.8337050853614004+0.5651904260278434j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,10,(-0.8020411935434891+0.4280975703361235j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,10,(0.21865320636414753-1.220296618758831j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,10,(-0.23645507385172534+0.8334120388405628j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,10,(0.6644841766109215+0.20826091243060973j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,10,(0.851207716390501+0.26371407600178465j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,11,(-0.7413322408677776-0.6696603876063134j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,11,(-0.3076397459790064-1.1108611672322393j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,11,(0.5422183155518818-0.8902592103696998j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,11,(0.7749601616177703-0.22878976063619516j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,11,(0.8337065487200255+0.5651901167971018j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,11,(-0.8020521809721538+0.4279081201466192j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,11,(0.23059272667353775-1.1899611233369576j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,11,(-0.6950066200884546+0.929603759508315j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,11,(0.8268566950639447+0.2387409486760474j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,11,(0.8507706156259827+0.25857513844222435j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,12,(-0.7413322408431069-0.669660387669355j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,12,(-0.30763974592125265-1.1108611673642144j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,12,(0.5422183156867528-0.8902592105413937j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,12,(0.774960160470891-0.22878976134767032j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,12,(0.8337066104747559+0.5651900062952904j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,12,(-0.8020703687371166+0.4279083677469824j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,12,(0.23512358500248348-1.194962065290814j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,12,(-0.513203259193068+1.1905459635821907j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,12,(0.8295462915425138+0.2673457769428725j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,12,(0.6930032352844984+0.2709959403226391j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,13,(-0.7413322408400607-0.6696603876771853j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,13,(-0.3076397459141846-1.1108611673807016j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,13,(0.542218315705136-0.8902592105608299j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,13,(0.774960160377427-0.2287897613600806j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,13,(0.8337066083403439+0.5651899962419775j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,13,(-0.8020707473447144+0.4279098254760702j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,13,(0.23414234304999684-1.1953758576293443j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,13,(-0.4486460636244455+1.0401736670353743j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,13,(1.0416856343041472+0.20044209065408908j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,13,(0.7180335778394682+0.4545436126529343j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,14,(-0.7413322408396813-0.6696603876781619j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,14,(-0.30763974591331533-1.1108611673827875j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,14,(0.5422183157076106-0.890259210563165j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,14,(0.7749601603709027-0.22878976135821077j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,14,(0.8337066077555221+0.5651899956796194j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,14,(-0.8020706597994671+0.4279099055517267j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,14,(0.2341130169805694-1.1952446209228325j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,14,(-0.5068958634481184+1.0509675227255784j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,14,(0.8451739353399709-0.11662186276308992j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,14,(0.7352621147296365+0.4484266095822178j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,15,(-0.7413322408396348-0.6696603876782843j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,15,(-0.30763974591320914-1.1108611673830548j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,15,(0.5422183157079417-0.8902592105634582j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,15,(0.77496016037051-0.22878976135784007j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,15,(0.8337066076952597+0.5651899956614834j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,15,(-0.8020706503914725+0.4279099036831668j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,15,(0.23412715575622606-1.1952413816745435j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,15,(-0.4956335186323842+1.0634892598647916j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,15,(0.6624511414563049+0.21130453856614054j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,15,(0.8402929164991139+0.6128701060106363j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,16,(-0.7413322408396268-0.6696603876782992j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,16,(-0.307639745913194-1.1108611673830873j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,16,(0.5422183157079853-0.8902592105634923j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,16,(0.7749601603704928-0.2287897613577871j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,16,(0.8337066076903727+0.5651899956617394j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,16,(-0.8020706500097574+0.4279099029894018j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,16,(0.23412772970817639-1.195242705335656j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,16,(-0.4944432403700725+1.0599660274636507j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,16,(0.9108242709462904+0.25565034471530623j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,16,(1.0423044037043026+0.43759746268572136j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,17,(-0.741332240839629-0.6696603876783022j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,17,(-0.30763974591319554-1.1108611673830948j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,17,(0.5422183157079921-0.8902592105635024j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,17,(0.7749601603704981-0.2287897613577816j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
